research,native_owner,reconciled_fact,remaining_owner_outcome
R03,#1415 / C3-CALC-01,#1441 merged generic quantity fix,Keep lifecycle #1442 and any full maturity/prod acceptance; no second quantity serializer.
R04,C2-LINE/WEAK + FAAB/trade consumers,#1436 merged structure/context repair,Do not treat deliberate fractional allocation as an automatically authorized defect.
R05,C2-GP / C5-PLAY/GD,#1435 merged completed-week repair,New live-state remaining-production acceptance stays with #1445.
R24,C6-ANA-01,#1437 merged persistence/as-of,Add only missing live extraction/producer/consumer acceptance.
R27/R54,Lane 6,#1438 merged local populated-route improvements; #1446 active Game Day,No second PSI program; no completion claim from fixture screenshots.
R12/R70,#1346 and #1445/#1446,Approved narrow Game Day single-flight/atomic-write/refresh transfer,Broader prepared rollout still owned by #1346 with default-off and isolated signing gates.
R29,C5-POW / share history,#1398 current table/share parity supersedes #1381 frozen-current-share UI,Preserve official historical publication and record-integrity outcomes.
R38,Existing DLF gate,#1411 rank repair + #1430 acquisition supersede #1406 icon-column blocker,Do not redo acquisition; multi-capture/promotion question remains #1444.
R36/R65,Existing #1173 marginal utility,Same contingent insurance outcome,"One scenario/lineup owner, not two bench bonus models."
R42,C7-AI-02 Roster Path Optimizer,Already native scope,"Refine legal intermediate states and reversibility, not a greenfield solver."
R45/R55,CE-17 / scoring lab,Same scoring-change sensitivity foundation,One scorer and one experiment owner; proposed automatic rule changes excluded.
R10/R58,Source ancestry / confidence explanation,Shared lineage inputs and distinct interpretation,Preserve approved KTC family policy; disagreement is not calibrated outcome uncertainty.
R61,C6-POD/YT/X / prospect scope,Research broad P4 bundles distinct existing scopes,Do not silently defer all media/devy or remove #829 enrichment.
R62,C7-GATE-01 / CE-11,Autonomy exclusion is not a gateway rejection,"Preserve explicit human-confirmed, gated action scope; no writes authorized now."
