research_id,recommendation,native_id(s),current_evidence,canonical_owner,active_claim/PR,exact_remaining_outcome,disposition,dependency_impact,recurring_burden,safe_parallel_lane,acceptance,uncertainty,evidence_urls,research_dependencies_not_adopted,research_complexity_not_a_duration,research_data_requirements,research_acceptance_preserved,research_operating_burden_judgment,research_source_url,current_production_verification
R01,"Typed zero, missing and confidence semantics",F-MISS-01; C1-ID-01; C5-ROS-01,Main aggregate.py retains row.confidence or 1.0. scrape.py also applies falsey-default coercion in run_all and _build_snapshot; CSV output omits confidence. ProjectionRecord has explicit nullable fields.,"Identity, scoring and ROS ingestion owners",1434 / 1445 own adjacent boundaries,Specify zero-confidence validity at ingestion and aggregation; preserve genuine zero projected production; trace an enabled adapter before declaring a live incident.,EXTEND,Local boundary tests can precede an ensemble. Coordinate affected ROS files with 1445; do not reopen unrelated repaired zero-score consumers.,"Low: regression maintenance and schema review, not another collector.",Canonical ROS owner; disjoint read-only fixtures may be prepared in parallel.,"Positive-control fixture with zero, None and 1 confidence; opposing source ranks must distinguish exclusion from full voting. Test canonical-name and resolved-name paths and projection=0. Demonstrate the old path fails before accepting a repair.",Zero is accepted by the dataclass and erased by inspected expressions; actual zero emitted by an enabled production provider was not established. No repository test was run.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/ros/aggregate.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/ros/scrape.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/bdvm/projections.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1434"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1445"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]",None,M,"Nullable values, status enums, confidence including literal zero, valid asset IDs and representative malformed payloads","Metamorphic tests distinguish zero, missing, stale, not applicable and unknown; confirm live consumer behavior before fixing",Low,https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/cd4d522b54522c5eac8228bb0628f0bc4ed6dd1b/src/ros/aggregate.py,NOT EXECUTED IN THIS SESSION
R02,Monotone weighted valuation estimator,F-VAL-01; F-VAL-02; C1-CONF-01,The reviewed window-median repair remains unmerged. Its author reports monotonicity and board-impact evidence. Exact KTC package VA is a different owner and must not be replaced by this estimator.,Canonical weighted blend in src/api/data_contract.py,1434 OPEN DRAFT; c3125bb4,"Finish the existing estimator review and exact-head validation; preserve family weights, native source values and explicit promotion exceptions.",KEEP,Serial writer for blend helpers; pick-lifecycle changes may share data_contract.py only through agreed disjoint hunks. Does not block UI or archive capture.,Low: property/fixture maintenance and occasional pinned-board impact review.,"Existing blend author/reviewer, not a new valuation-engine lane.","Reproduce the unequal-weight counterexample on main; test equal-weight compatibility, value monotonicity, weight continuity and outliers; rerun pinned board impact and required gates. Report structural validity separately from forecast accuracy.",Author test results were not rerun. PR is draft and non-mergeable at observation; this is not implementation or promotion authority.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/api/data_contract.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/MATH_MODEL_CALIBRATION_POLICY_2026-08-15.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1434"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/3125"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]",R01,M,"Frozen per-source values and weights, family memberships, unequal-weight adversarial inputs, prior/current board generations","Reproduce failures, prove/justify estimator properties, pin deterministic counterexamples and report full board impact",Low,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1434,NOT EXECUTED IN THIS SESSION
R03,Pick lifecycle and generic quantity closure,C1-ID-02; C1-PICK-02; C3-CALC-01; #1414; #1415,"Generic quantity repair is on main. Lifecycle remains in 1442, now including firstActiveClass/pick-stack wiring. The owner explicitly kept currentDraftYear=2026 and the existing horizon through 2029.",Pick identity/lifecycle plus trade serialization owners,1441 MERGED; 1442 OPEN at 3101430c,"Complete the lifecycle PR and consumer acceptance; retain unique owned assets, legitimate repeated generic quantities and historical lookup. Keep separate round-only parsing/discount residuals visible.",CONSOLIDATE,Do not couple retirement to a 2030 horizon expansion. Shared-board retirement requires evidence for every compatible league. Coordinate data_contract.py/server.py/trade-page hunks with existing writers.,"Low: draft/roster evidence refresh, class-state regression fixtures.",Existing pick author; no second lifecycle module. Disjoint UI may continue.,"Actual owned pick cannot duplicate; generic quantity survives edit/share/workspace/CSV/equalizer. UNKNOWN does not retire; historical lookup remains priced or explicitly unavailable. Verify firstActiveClass, current season, horizon and no unrelated value/rank changes in production.","No deployment evidence for either current outcome was independently checked. Round-only failures are author-reported residuals, not newly reproduced incidents.","[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/frontend/lib/pick-stack.js"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1441"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1442"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]",R01,M,"Host draft status, drafted rookies on actual rosters, player draft year, owned-pick lineage, generic quantities and lifecycle evidence",Completed draft evidence retires only correct class; valid future picks remain priced; quantities round-trip UI/API/share/equalizer,Low,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1442,NOT EXECUTED IN THIS SESSION
R04,League slot demand consumer convergence,C2-LINE-01; C2-WEAK-01; C2-CORE-01; C4-FAAB-01; #838; #899,1436 removes the wrong-league/default-demand fallback and exposes shared slot structure. It deliberately retains FAAB even-split allocation versus trade per-slot participation; these are not interchangeable numbers.,Canonical lineup demand; roster strength and FAAB consumers,1436 MERGED at 5ff4bafc; adjacent 1445,"Publish one structural slot/eligibility contract with explicitly named demand meanings; decide only the remaining intended allocation difference, rather than forcing every consumer to the same scalar.",REFRAME,Structural reuse is available now. A policy decision on FAAB allocation need not block Game Day or UI.,Low: shared tests across scoring cards and hybrid-position fixtures.,Lineup owner is the single writer; consumers integrate against a stable contract.,"Test two real, different leagues, superflex, narrow FLEX, hybrid eligibility and missing settings. No hidden default card. Demonstrate the selected allocation semantics in trade, FAAB, strength and posture without conflating dynasty strength with ROS strength.",Full consumer convergence and all award-context fallbacks were not independently traced. Changing intentional FAAB allocation requires owner approval.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/ros/lineup.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/roster_intel/strength.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1436"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1445"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]",R01,M,"Per-league roster_positions, fantasy_positions, scored categories, actual rosters, FAAB/trade/strength caller inputs",Both actual leagues and adversarial SF/IDP/hybrid formats agree on legal slots; explicitly settle FAAB allocation semantics,Low,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1436,NOT EXECUTED IN THIS SESSION
R05,Completed-week and live-state truth,C2-GP-01; C5-PLAY-01; C5-GD-01; W1-21; W1-28,The regular-season completed-week/real-zero repair is merged. W1 final-game acceptance is already recorded; the new Game Day live-state producer is a separate open extension.,Completed-week and Game Day state owners,1435 MERGED; 1445 OPEN,"Preserve the landed cutoff repair; close only residual live-state, correction and consumer mismatches through the current Game Day owner.",CONSOLIDATE,A completed NFL/fantasy week is not the same concept as retirement of a rookie class or a post-season recap cutoff.,Low for cutoff logic; continuous live-state operation belongs to the existing collector budget.,Seasonal owner plus active 1446 UI consumer.,"Finalized real zero participates; missing/in-progress data does not. Historical regular-season metrics, playoff-aware recap behavior and live player states use their intended horizons. Unknown metadata cannot silently become inactive/final.","Merged tests are author evidence, not this session’s execution. Current live state coverage is unmeasured.","[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/ros/game_day_sim.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/season-launch/WEEK_1_LAUNCH_CONTRACT.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1435"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1445"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]",R01,M,"Host last-scored leg, game status, complete matchup membership, actual zero scores, postponed games and correction events",Real zero scores count; ongoing games never booked final; current-season IDs and matchups remain isolated,Low,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1435,NOT EXECUTED IN THIS SESSION
R06,Serving safety and independent capture responsiveness,C0-PERF-01; C8-PERF-01; C8-PERF-02; #1391; #1338,Last-good promotion protection and capture serialization repairs are already merged. 1346 still explicitly lacks final local/production acceptance; 1395 addresses capture-time responsiveness evidence.,Existing serving/capture performance owners,1346 DRAFT; 1395 OPEN; 1445 owns transferred Game Day primitives,Measure serving during real capture and retain good generations when acquisition fails; finish the existing preparation/rollout gates without a parallel cache stack.,KEEP,1346 is not a global lock. Game Day singleflight/atomic-write ownership was transferred; reconcile exact overlapping files before integration.,"Medium: independent probes, soaks, resource telemetry and generation retention.",Existing performance owner; Game Day-specific transferred code stays with 1445; Lane 6 continues.,"Capture-window external responsiveness, current deployed SHA, source failure injection, cold start and last-good fallback, memory/CPU headroom and existing latency budgets. Successful pre/post probes alone do not pass.",No current production probe or resource measurement was run. 1346’s large test counts are neither deployment nor useful-state acceptance.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/PERFORMANCE_CAMPAIGN.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/.github/workflows/deploy.yml"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1346"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1395"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1445"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]",R01,L,"Externally timed HTTP probes, process/cgroup telemetry, scrape-phase timestamps, last-good generation and promotion verdicts",Observe bounded external requests during repeated real captures; verify last-good serving and cold-start failure policy,Medium,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1405,NOT EXECUTED IN THIS SESSION
R07,"Cross-league, public/private and hermetic test closure",F-PRIV-01; F-MISS-01; C0-GOV-01; #1334; V1-131,Main already contains hermetic-test and league-keyed cache repairs; V1 navigation/privacy acceptance is recorded. 1446 adds request/response context checks in its Game Day flow.,"Context, privacy, canonical ownership and test-isolation owners",1446 current Game Day context consumer; 1346 shared shell boundary,Close task-specific residual cross-league and public/private paths without treating repaired defects as absent work.,EXTEND,A route-local context fix does not close #1334 across the entire site. Shared shell/context changes must not race 1346.,Low: adversarial fixtures and contract regression upkeep.,Context owner serial; stable route-level consumers and disjoint Lane 6 work parallel.,Switch between best-ball+median and managed/no-median leagues; reject stale responses; test public share output for private strategy and quiet overrides; run tests in varied order without network/global-state leakage.,No full test suite or authenticated two-league browser task was executed here.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/ui/CALCULATOR_UI_IMPLEMENTATION_CONTRACT.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/VERSION_1_COMPLETION_CONTRACT.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1446"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1346"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]",R01,M,"League/team/user identity, scoring fingerprints, private authorization boundaries, isolated runtime artifacts and hermetic fixtures",Poison-cache and alternating-league tests; no strategy leakage into public snapshots; verify residual test globals,Low,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1403,NOT EXECUTED IN THIS SESSION
R08,Unified typed projection observations,C5-ROS-01; C5-PROJ-A/B/C/D/F; #854; C5-BDVM-01,"Main ROS is rank aggregation, while BDVM already accepts statistical ProjectionRecord observations and real Clay/IDP Show producer stages. 1445 adds typed weekly observations; this is not a greenfield projection engine.","Existing seasonal observation/ensemble, scoring and identity owners","1445 OPEN, typed weekly producer/consumer integration","Finish adapters and consumer semantics around existing typed observations: native stats/points/ranks/proxies, horizon, scoring basis, ancestry, as-known timestamps and quality states.",EXTEND,"C5-PROJ-A through F are execution subdivisions, not new denominator rows. Early capture need not wait for mature learned ensembles.","Medium: provider drift, mappings, time-stamped storage and scoring coverage checks.",1445 seasonal writer; stable schema consumers parallel; preserve acquisition-owner boundaries.,Round-trip native stat observations; exact linear rescoring; explicitly unsupported nonlinear categories; proxy and source-family labels; no dynasty voting path; no unseen-current data in historical queries; real per-position/horizon coverage receipt.,Current production coverage is unknown. The stale zero-real-sources header is contradicted by main producer code; branch census LIVE labels are not a current health measurement.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/ros/aggregate.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/bdvm/projections.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/scripts/refresh_bdvm_projections.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1445"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]","R01,R07",L,"Source-native raw statistics, point forecasts, horizon, week/season, stat basis, scoring basis, player identity, publication and observation timestamps","One observation contract carries horizon, stat basis, source, time, scoring fingerprint and coverage; no duplicate model owner",Medium,https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/cd4d522b54522c5eac8228bb0628f0bc4ed6dd1b/src/bdvm/projections.py,NOT EXECUTED IN THIS SESSION
R09,Scoring-vocabulary coverage and projection uncertainty,F-SCORE-01; F-SCORE-02; C5-PROJ-B; C5-FIT-01; C5-ST-01; #802; #803,Main BDVM rescoring has first-down imputation flags and IDP vocabulary diagnostics. New weekly adapters report uncovered scoring keys rather than treating provider mean lines as complete expected-score distributions.,Canonical scoring vocabulary and projection observation owners,1445 scoring/coverage extensions; #854 native umbrella,"Expose observed, imputed, unsupported and inapplicable categories by position/horizon; separately model bonus-event distributions when justified.",EXTEND,Scoring a mean stat line exactly is not an exact expectation under nonlinear bonuses. Distribution work must reuse scoring and observation owners.,"Medium: stat aliases, host golden fixtures, approximation audits and prospective category evaluation.",Scoring owner serial; observational coverage reports parallel to stable UI.,"Host-awarded fixtures for offense, IDP, kicker and individual returns/ST; threshold counterexample; genuine zero versus absent stats; imputation provenance; never score player ST as team DST.",No new category-accuracy or nonlinear forecast superiority was measured.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/bdvm/projections.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/src/nfl_data/realized_points.py"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1445"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/854"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]",R08,M,"Every nonzero scoring category, per-source supported/missing statistics, actual raw results, first-down and IDP imputation provenance",Golden host scoring and per-category completeness; imputed categories visibly labeled and uncertainty propagated,Medium,https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/cd4d522b54522c5eac8228bb0628f0bc4ed6dd1b/src/bdvm/projections.py,NOT EXECUTED IN THIS SESSION
R10,Source ancestry graph and independent holdouts,F-SRC-01; C1-SRC-01; C1-SRC-02; C5-PROJ-A; #804,KTC Crowd/Trades family policy and Market benchmark-only role are already approved. Weekly Sleeper/RotoWire is one family; the FN branch records possible constituent overlap rather than assuming independence.,Source lineage/family and evaluation owners,1434 adjacent estimator; 1444 measurement; 1445 projection census,Retain observation and transformation ancestry and implement time-safe holdouts that remove target-family normalization influence as well as direct votes.,EXTEND,Researching ancestry does not authorize changing existing voting families or requiring the full graph before useful capture/UI.,Low-to-medium: maintaining lineage declarations and offline holdout runs.,"Source/evaluation owners; disjoint evidence research is safe, model promotion remains governed.",Count effective authority by declared ancestry; disclose unknown ancestry; blocked holdouts include normalization/training lineage; KTC Market never becomes a third vote.,Approved governance families are not demonstrated statistical independence. Neither the report nor this session established residual independence.,"[""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/sources/SOURCE_FRESHNESS_WEIGHTING.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1434"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1444"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1445"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/C_SERIES_SCOPE_MANIFEST.md"", ""https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/f3eacc180309b438c19fcd1e388e1d18d0c53c67/docs/OWNER_PRODUCT_BACKLOG_SPEC.md""]",R01,M,"Provider/analyst/model relationships, original and derived observations, training/normalization ancestry, source weights and residual errors",Source-to-author/dataset graph; leave-one-family-out experiments; KTC Market barred as independent target,Low,https://github.com/jasonleetucker-code/riskittogetthebrisket/blob/cd4d522b54522c5eac8228bb0628f0bc4ed6dd1b/scripts/source_inventory.py,NOT EXECUTED IN THIS SESSION
