claim,section,verdict,evidence
Dynasty Scraper.py is 'THE PRODUCTION SCRAPER (Selenium/requests)'; Tech Stack lists 'legacy Selenium/requests',"Tech Stack / Directory Structure (L21,L30)",FALSE,grep -c selenium 'Dynasty Scraper.py' -> 0. `grep -rln selenium --include=*.py --include=*.txt .` -> no hits anywhere in the repo. Actual imports at Dynasty Scraper.py:52-53 are `requests` + `from playwright.async_api import async_playwright`.
Dynasty Scraper.py is 'Not legacy despite its age',Directory Structure (L30-34),TRUE (but contradicts Tech Stack L21 which calls it 'legacy'),"server.py imports it via importlib; .github/workflows/scheduled-refresh.yml:14 cron '42 */2 * * *' = every 2h, as claimed. The word 'legacy' at L21 and 'Not legacy' at L31 are 10 lines apart."
'frontend/ — Next.js app (App Router) — 38 pages',Directory Structure,FALSE,find frontend/app -name 'page.*' -not -path '*/api/*' | wc -l -> 41.
'frontend/app/api/ — 28 backend bridge routes',Directory Structure,FALSE,find frontend/app/api -name 'route.*' | wc -l -> 36. AUDIT_PROTOCOL.md independently states 36.
'src/ — Modular canonical engine (~250 modules)',Directory Structure,FALSE,find src -name '*.py' | wc -l -> 300 (20% understated).
'exports/ — Release artifacts ... 141 tracked',Directory Structure,FALSE (off by one),git ls-files exports | wc -l -> 140.
"'data/ ... ~7,900 files ARE tracked'",Directory Structure,PARTIALLY TRUE,"git ls-files data | wc -l -> 8,198 (3.8% understated; 'approximately' makes this defensible)."
'server.py — FastAPI backend entry point (~100 routes)',Directory Structure,TRUE,"openapi.json -> 99 operations. 84 @app.<verb> decorators in server.py plus router-mounted ros/consensus-edge/sharp routes. The 2026-08-04 prior audit's '82 routes' is the stale figure, not this one."
"'Backend: Python 3, FastAPI, Uvicorn (port 8000)'",Tech Stack,TRUE,Live on http://127.0.0.1:8000; /api/status returns contract version 2026-03-10.v2.
'Frontend: Next.js 15 + React 19 (port 3000)',Tech Stack,PARTIALLY TRUE,"frontend/package.json: next 16.2.12, react 19.2.8. React major is right; Next is a full major behind. Bumped by commit 7b21aba4 (2026-08-04) after CLAUDE.md's last internal date (2026-07-31)."
'src/league/ — EMPTY placeholder — see src/league/README.md',Directory Structure,TRUE,"ls src/league/ -> .gitkeep, README.md, __init__.py (138 b). No implementation modules."
'/api/leagues ... no Sleeper IDs leaked',API Endpoints table,TRUE for /api/leagues,GET /api/leagues returns key/displayName/scoringProfile/rosterSettings only; no sleeperLeagueId field.
'no endpoint exposes raw Sleeper IDs to the UI',League-aware routing,FALSE,"GET /api/data?view=app returns sleeper.leagueId = 1312006700437352448, which is verbatim config/leagues/registry.json:8 sleeperLeagueId. Also sleeper.teams[].ownerId. CLAUDE.md's own field table (L146) lists `sleeper.leagueId` as a contract field, so the doc contradicts itself 106 lines apart."
'meta.sleeperDataReady — true iff sleeper block is valid for the *requested* league',Contract annotations,TRUE,"GET /api/data?leagueKey=dynasty_new -> sleeperDataReady:true and sleeper.leagueId=1320092771247222784 / leagueName 'Blood, Sweat, and Beers' / 10 teams — genuinely the requested league (server.py:3240-3263 cross-league overlay path)."
"'meta.sleeperLoadedLeagueKey — which league the sleeper block *would* be for, when sleeperDataReady: false (diagnostic only)'",Contract annotations,FALSE,"GET /api/data?view=compact&leagueKey=dynasty_new -> {sleeperDataReady: true, sleeperLoadedLeagueKey: 'dynasty_main'} while the sleeper block IS dynasty_new's. server.py:3262 stamps it on the overlay path (`if not sleeper_matches`) where sleeperDataReady is True. The field now means 'which league the base CONTRACT was built for'; the doc still describes the pre-overlay semantics."
"'/api/data, /api/rankings/overrides — 503 only when scoring profiles genuinely differ. When they match but sleeper is for a different league, serve shared rankings with sleeper: null + sleeperDataReady: false'",Error behavior on endpoints,PARTIALLY TRUE,"The 503-on-profile-mismatch guard exists (server.py:3076, :3817). But the sleeper:null degradation is now the FALLBACK, not the behaviour: the primary path (server.py:3240-3263) live-fetches the requested league's rosters and serves a valid block. Measured: dynasty_new -> 200 with dynasty_new's own 10 teams, sleeper NOT null."
"'/api/terminal, /api/trade/*, /api/angle/* — 503 whenever the loaded contract's leagueKey doesn't match the request'",Error behavior on endpoints,PARTIALLY TRUE,"TRUE for trade/angle: POST /api/trade/finder and POST /api/angle/find with leagueKey=dynasty_new both -> 503 data_not_ready. FALSE for terminal: GET /api/terminal?leagueKey=dynasty_new -> HTTP 200 carrying dynasty_new's own teams (DeCline, Bkesss, Roy...). The three are grouped under one rule the code no longer applies uniformly."
"D-2 resolution: 'This resolves Defect D-2 ... Fixing the doc is the answer, and this is it.'",Error behavior — /api/draft-capital,FALSE (contradicted by two other in-tree sources at HEAD),"server.py:8270-8271 'that is Defect D-2, an open decision, not settled here'; server.py:8303-8305 'an OPEN product decision between ""503 per CLAUDE.md's table"" and ""keep the cross-league fallback and fix the doc""'; docs/python-coverage-audit.md:269 heads the section 'D-2 ... *(UNRESOLVED — documented, not fixed)*'. Three files, one defect, two opposite verdicts."
D-2 fix: '_pick_value_from_contract returns None on a miss' and the 7000/4000/2000/1200 table was removed,Error behavior — /api/draft-capital,TRUE,src/api/draft_capital_fallback.py:74-79 signature is `-> float | None`; the numbers 7000/4000/2000 survive only inside the docstring at :86 describing what was removed.
"D-2 fix: unpriced picks emit dollarValue: null + isUnpriced: true, and pricedPickCount / unpricedPickCount / unpricedPickYears make the omission visible; coveredPickYears derived from what was priced",Error behavior — /api/draft-capital,TRUE,"GET /api/draft-capital?leagueKey=dynasty_new -> coveredPickYears:[2026], pricedPickCount:40, unpricedPickCount:40, unpricedPickYears:[2027], numTeams:10, source:'sleeper_derived'. Exactly the documented shape, on the correct (foreign) league."
'the fallback ... fetches THAT league's own rosters and traded picks',Error behavior — /api/draft-capital,TRUE,"numTeams:10 and draftRounds:4 match config/leagues/registry.json's dynasty_new, not the loaded dynasty_main contract's 12."
Validation rules: unknown leagueKey -> 400 unknown_league; inactive -> 400 inactive_league; alias 'main' canonicalised,League-aware routing,PARTIALLY TRUE / UNVERIFIABLE on one row,leagueKey=bogus_league -> 400 {'error':'unknown_league'} VERIFIED. leagueKey=main -> 200 VERIFIED (alias accepted). inactive_league UNVERIFIABLE: config/leagues/registry.json has no inactive league (both dynasty_main and dynasty_new are active:true).
'POST /api/scrape (non-default leagueKey returns 501 today)',League-aware routing,UNVERIFIABLE,AUDIT_PROTOCOL.md forbids POSTing /api/scrape. Not probed.
'A page path requested from :8000 now returns a JSON 404',Frontend Runtime,TRUE,curl http://127.0.0.1:8000/rankings -> 404 {'detail':'Not Found'}.
