id,kind,subject,side_a,side_b,adjudication,evidence,severity
C-01,code comment vs code,consensus_edge feature flag default,server.py:2686-2693: 'the consensus_edge feature flag ... default **ON** since 2026-08-04 without being able to move a number that was already on screen',"src/api/feature_flags.py:260: '""consensus_edge"": False,' with a 20-line comment ending 'See ADR-023'","feature_flags.py is right; the server.py comment is wrong. ADR-023 (docs/consensus-edge/DECISIONS.md:546) is titled 'the flag goes back OFF, on the gate that turned it on' — the comment records the ON flip and not the same-day revert.","curl -b cookies http://127.0.0.1:8000/api/consensus-edge/players -> HTTP 503 {'error':'feature_disabled','flag':'consensus_edge'}",P2
C-02,doc vs doc (intra-CLAUDE.md),Is Dynasty Scraper.py legacy?,"CLAUDE.md:21 'Scraping: Playwright (browser automation), legacy Selenium/requests (Dynasty Scraper.py)'",CLAUDE.md:30-31 'THE PRODUCTION SCRAPER (Selenium/requests). Not legacy despite its age',Both are wrong about Selenium and only L30 is right about legacy. The file imports requests + playwright and no selenium exists anywhere in the repo.,grep -c selenium 'Dynasty Scraper.py' -> 0; grep -rln selenium --include=*.py . -> no hits; Dynasty Scraper.py:52-53,P3
C-03,doc vs code,Sleeper IDs exposed to the UI,CLAUDE.md:251-252 'no endpoint exposes raw Sleeper IDs to the UI',CLAUDE.md:146 lists 'sleeper.leagueId' as a contract field that must follow leagueKey,"The code follows L146; L251 is false. /api/leagues is clean, /api/data is not.",curl -b cookies 'http://127.0.0.1:8000/api/data?view=app' | sleeper.leagueId = 1312006700437352448 == config/leagues/registry.json:8,P3
C-04,doc vs code vs doc,Defect D-2 status,"CLAUDE.md:188-190 'This resolves Defect D-2 ... Fixing the doc is the answer, and this is it.'","server.py:8270-8271 'that is Defect D-2, an open decision, not settled here'; server.py:8303-8305 'an OPEN product decision between ""503 per CLAUDE.md's table"" and ...'; docs/python-coverage-audit.md:269 '### D-2 ... *(UNRESOLVED — documented, not fixed)*'",Two of three say OPEN. CLAUDE.md unilaterally closed it without bringing the code comment or the audit doc along. The behaviour itself is stable and defensible; only the status verb disagrees.,grep -n 'D-2' server.py docs/python-coverage-audit.md CLAUDE.md,P2
C-05,doc vs runtime,Contract meta.sleeperLoadedLeagueKey semantics,"CLAUDE.md:165-166 'which league the sleeper block *would* be for, when sleeperDataReady: false (diagnostic only)'","server.py:3262 stamps it inside the sleeperDataReady=True overlay branch, guarded only by `if not sleeper_matches`",The field's meaning changed to 'which league the base contract was built for' when the cross-league overlay landed; the doc still describes the pre-overlay meaning. On a valid dynasty_new payload it names dynasty_main.,"curl -b cookies 'http://127.0.0.1:8000/api/data?view=compact&leagueKey=dynasty_new' -> meta {sleeperDataReady:true, sleeperLoadedLeagueKey:'dynasty_main'} with sleeper.leagueId=1320092771247222784",P2
C-06,doc vs runtime,503-on-league-mismatch rule,"CLAUDE.md:173-176 '/api/terminal, /api/trade/*, /api/angle/* — 503 whenever the loaded contract's leagueKey doesn't match the request'",GET /api/terminal?leagueKey=dynasty_new -> HTTP 200 with dynasty_new's own teams,"Holds for trade/* and angle/* (both 503 data_not_ready), not for terminal. The code is inconsistent with itself, and the doc groups all three.",curl -w '%{http_code}' -b cookies 'http://127.0.0.1:8000/api/terminal?leagueKey=dynasty_new' -> 200; POST /api/trade/finder and /api/angle/find with the same key -> 503,P2
C-07,doc vs runtime (measurement),Payload sizes,CLAUDE.md:806-807 full contract '~4 MB uncompressed'; delta '~1.25 MB uncompressed ... ~100 KB over the wire',"Measured 2026-08-04: full 11,953,535 b (11.95 MB); delta 3,918,195 b (3.92 MB); delta gzip 372,690 b (373 KB)",All three absolute figures are ~3x low. The relative claim ('~70% smaller') is correct at 66.8%.,curl -s -b cookies -o /dev/null -w '%{size_download}' 'http://127.0.0.1:8000/api/data'; POST /api/rankings/overrides?view=delta with {} overrides,P2
C-08,doc vs test,The test that supposedly pins payload size,"CLAUDE.md:809 'pins the delta shape, byte-size bounds'",tests/api/test_source_overrides.py:635-636 asserts delta_bytes < 55_000 on a synthetic fixture; its comment at :631 repeats 'delta is ~1.25MB vs ~4MB full',The bound is 71x smaller than the real delta. The test cannot detect the 3x drift in C-07 and its own comment propagates the wrong numbers.,"sed -n '608,640p' tests/api/test_source_overrides.py",P3
C-09,doc vs runtime (measurement),Why some rows carry a client-side ordinal,CLAUDE.md:679-681 'In practice that is players past the backend's OVERALL_RANK_LIMIT (800) — rows the backend deliberately left unranked',"Live contract: 1,092 rows, 740 ranked, MAX stamped rank = 740; the 239 unranked non-pick rows all have rankDerivedValue = null","The 800 limit is never reached. The rows are unpriced, not over-limit. The doc's framing makes a pricing gap read as a deliberate depth cutoff.",python3 over /api/data payload: max(canonicalConsensusRank)=740; 239/239 unranked non-picks have rankDerivedValue None,P1
C-10,doc vs code (line refs),buildRows line citations,CLAUDE.md:677-678 cites dynasty-data.js:1366 and :1378,Actual: frontend/lib/dynasty-data.js:1391 and :1403,25-line drift. Substance correct.,"sed -n '1388,1405p' frontend/lib/dynasty-data.js",P3
C-11,doc vs doc (intra-CLAUDE.md),Is BDVM dormant or live?,"CLAUDE.md:485-493 'default ON since 2026-07-28 ... writes a real snapshot (2,815 records) ... 726 players priced'",CLAUDE.md:550-553 'The platform currently has no forward-looking statistical projection feed ... and stays dormant until snapshots exist under data/bdvm/projections/',The second paragraph is pre-flip text left in place 60 lines below the correction. The flag is genuinely True.,"src/api/feature_flags.py:225 '""bdvm_engine"": True'",P3
C-12,doc vs code,BDVM flag default in its own authority document,docs/research/bdvm-v1/IMPLEMENTATION_REPORT.md:129 'The feature flag bdvm_engine defaults OFF' and :388 '(default **False**)',"src/api/feature_flags.py:225 '""bdvm_engine"": True', _GATE_STATUS LIVE at :373; CLAUDE.md says ON since 2026-07-28","The report is wrong. CLAUDE.md points at it as BDVM's authority, so the pointer leads to the false statement. Confirms PRIOR-A10-F06 at HEAD.",grep -n 'defaults OFF' docs/research/bdvm-v1/IMPLEMENTATION_REPORT.md; curl /api/bdvm/values -> not feature_disabled,P2
C-13,ADR vs ADR (namespace),ADR-001..015 exist twice with unrelated subjects,docs/league-intelligence/DECISIONS.md: ADR-001..015 (ADR-008 = 'replacement levels use endogenous flex allocation'; ADR-015 = 'the TE alignment is now a measured basis conversion'),docs/consensus-edge/DECISIONS.md: ADR-001..025 (ADR-008 = 'the mispricing component earned its place'; ADR-015 = 'market movement is the right target'),"Genuinely ambiguous namespace. A third file, docs/roster-trade-intelligence/DECISIONS.md, contains a single ADR numbered 008 with no 001-007. CLAUDE.md:400-403 states the rule ('Always cite ADRs with their file') — and 36 of the 44 ADR citations in src/ + server.py break it.","grep -oE '^## ADR-[0-9]+' over the three DECISIONS.md files; grep -rnoE 'ADR-0[0-9]{2}' --include=*.py src/ server.py | 44 hits, 36 in the 001-015 collision range across 24 modules",P2
C-14,doc vs runtime,docs/ARCHITECTURE.md advertises a delta view that does not exist on that route,docs/ARCHITECTURE.md:101-105 'Next.js renders shell -> /api/data?view=delta -> build_rankings_delta_payload(...)',"GET /api/data?view=delta returns 11,953,535 bytes — byte-identical to no view param — payloadView null, and never calls build_rankings_delta_payload. The delta view lives on POST /api/rankings/overrides?view=delta (CLAUDE.md:807 has this right).","ARCHITECTURE.md is wrong AND the route silently accepts an unknown view value instead of rejecting it, so the mistake is invisible at the call site. A developer following this doc ships 11.95 MB believing they asked for 3.92 MB.",curl -s -b cookies -o /dev/null -w '%{size_download}' 'http://127.0.0.1:8000/api/data?view=delta' -> 11953535 (same as plain /api/data),P2
C-15,doc vs doc,Does this platform have a database?,docs/ARCHITECTURE.md:9 'FastAPI (port 8000) -> SQLite',"docs/audits/decision-intelligence-audit-2026-08-04.md:~105 '**Database** | **None.** No SQL, no ORM, no migrations. JSON files + a user KV store.'","ARCHITECTURE.md is right. Eight modules use sqlite3 with CREATE TABLE DDL — src/api/user_kv.py (which IS the 'user KV store' the audit excused), session_store.py, guest_passes.py, startup_validation.py, src/intel/ledger.py, src/intel/platform_ledger.py, src/consensus_edge/snapshot.py, src/sharp/roster_store.py. The audit then used 'no database' to declare the brief's SQL scope not applicable.",grep -rln sqlite3 --include=*.py src/ server.py -> 8 modules; user_kv.py:41 'CREATE TABLE user_state',P2
C-16,doc vs doc,Next.js major version,CLAUDE.md:20 and README.md:8 both say 'Next.js 15 + React 19',frontend/package.json 'next': '16.2.12',"Both docs are one major behind. Bumped by 7b21aba4 (2026-08-04), after CLAUDE.md's last internal date of 2026-07-31.","grep '""next""' frontend/package.json",P3
C-17,doc vs code,POSITION_ALIASES single source of truth,CLAUDE.md:903 'Single source of truth: POSITION_ALIASES in src/utils/name_clean.py. All modules import from there.',src/league_intel/replacement.py:91 _BASE_POSITION_ALIASES (own 11-key literal); src/bdvm/idpshow_projections.py:139 _POSITION_ALIASES (adds EDGE/DT/IDL/DI keys name_clean does not carry),Two modules keep their own maps. replacement.py's is behaviourally identical on IDP but diverges on K/P/PICK (pass-through vs mapped). No live wrong number was demonstrated; the invariant is nonetheless false as stated.,grep -rn 'POSITION_ALIASES' src/ --include=*.py | grep -v name_clean,P3
