path,bytes,latest_internal_date,self_marker,recommendation,rationale
.agents/skills/blueprint-auditor/SKILL.md,1111,-,-,KEEP,Audit methodologies AUDIT_PROTOCOL.md instructs workstreams to read.
.agents/skills/design-taste-director/SKILL.md,4555,-,-,KEEP,Audit methodologies AUDIT_PROTOCOL.md instructs workstreams to read.
.agents/skills/performance-optimizer/SKILL.md,967,-,-,KEEP,Audit methodologies AUDIT_PROTOCOL.md instructs workstreams to read.
.agents/skills/reality-check-review/SKILL.md,672,-,-,KEEP,Audit methodologies AUDIT_PROTOCOL.md instructs workstreams to read.
.agents/skills/scraper-ops/SKILL.md,822,-,-,KEEP,Audit methodologies AUDIT_PROTOCOL.md instructs workstreams to read.
.agents/skills/value-pipeline-auditor/SKILL.md,1100,-,-,KEEP,Audit methodologies AUDIT_PROTOCOL.md instructs workstreams to read.
AGENTS.md,2583,-,-,KEEP,"Agent operating rules, current."
ASSISTANT_COORDINATION.md,1230,-,-,KEEP,Referenced by CLAUDE.md L15; multi-assistant handoff protocol.
CLAUDE.md,54855,2026-07-31,-,KEEP,"The authority per HANDOFF.md. 49/73 falsifiable claims TRUE. FIX IN PLACE, do not retire — see W25-F001..F009 for the 12 false ones."
HANDOFF.md,7601,2026-07-29,-,KEEP,Names the doc hierarchy. Only file that does. Keep and make it the index the retire list below feeds.
LOCKSTEP_SETUP.md,3525,-,-,KEEP,Setup instructions for the coordination model CLAUDE.md mandates.
README.md,7374,2026-07-29,-,KEEP,Entry point. Fix the 'Next.js 15' line (C-16).
SECURITY.md,3172,-,-,KEEP,"Policy doc, no drift surface."
UNIMPLEMENTED_BACKLOG.md,41601,2026-07-29,superseded,RETIRE,"RETIRE. Its own header says 'much of this file is already superseded' and 'the remaining entries were not re-verified one by one'. Two entries were found actively misreporting risk and struck through in place. A backlog nobody can trust is worse than no backlog: it costs every reader the time to discover that. Delete it, or move the handful of still-open items into GitHub issues and delete the file. 41,601 b in the repo root next to CLAUDE.md."
audit/AUDIT_REPORT_2026-04-28.md,15585,2026-04-28,-,ARCHIVE,"2026-04-28 audit round, fully superseded by docs/audits/."
audit/OPEN_QUESTIONS_FOR_PRODUCT.md,5861,2026-04-29,-,ARCHIVE,"2026-04-28 audit round, fully superseded by docs/audits/."
config/leagues/README.md,5388,-,-,KEEP,No drift surface found in this pass; not examined in depth.
data/comparison/founder_review_packet.md,4106,2026-03-22,-,ARCHIVE,"Latest internal date 2026-03-22 — at least three months before HEAD (2026-08-04) — and no staleness marker, so it reads as current."
data/raw/README.md,1144,-,-,KEEP,No drift surface found in this pass; not examined in depth.
deploy/PRODUCTION_BOOTSTRAP.md,3208,-,-,KEEP,Deployment READMEs track live systemd/nginx units.
deploy/backup/README.md,6075,-,-,KEEP,Deployment READMEs track live systemd/nginx units.
deploy/grafana/README.md,1899,-,-,KEEP,Deployment READMEs track live systemd/nginx units.
deploy/monitoring/README.md,3192,2026-07-26,-,KEEP,Deployment READMEs track live systemd/nginx units.
deploy/systemd/README.md,4378,-,-,KEEP,Deployment READMEs track live systemd/nginx units.
docs/ARCHITECTURE.md,7161,-,-,KEEP,"Useful shape doc, but fix C-14 (the /api/data?view=delta arrow is wrong and the route silently accepts it) before anyone follows it again."
docs/BLUEPRINT_EXECUTION.md,10284,2026-03-09,STALE,RETIRE,"RETIRE. STALE-bannered, 2026-03-09, describes an execution plan for a pipeline that no longer exists."
docs/BRANCH_DISPOSITION_2026-07-29.md,6168,2026-07-29,-,RETIRE,RETIRE. One-off branch triage from 2026-07-29; the branches are gone.
docs/CHASE_UPSIDE_RUN_LOG.md,42644,2026-07-28,-,ARCHIVE,"ARCHIVE. 42,644 b run log through 2026-07-28. Forensic value only."
docs/CLAUDE_SESSION_AUDIT_HANDOFF.md,142235,2026-07-31,-,RETIRE,"RETIRE. 142,235 b — the single largest doc in the repo — a session-scoped handoff from 2026-07-31. Session handoffs do not have a second reader."
docs/DESIGN-SYSTEM.md,20366,-,-,KEEP,"Live design tokens, referenced by the frontend."
docs/ONBOARDING.md,4303,-,-,KEEP,Only new-contributor path.
docs/ORCHESTRATION.md,99572,2026-08-02,-,KEEP,No drift surface found in this pass; not examined in depth.
docs/OWNER_ACTION_AUDIT_2026-07-29.md,107158,2026-07-29,superseded,ARCHIVE,"ARCHIVE. 107,158 b, self-marked 'superseded', same date as the 07-29 audit that supersedes it."
docs/PROD-HARDENING.md,16987,-,-,KEEP,No drift surface found in this pass; not examined in depth.
