pr,state,title,head_sha,branch,canonical_owner_or_claim,remaining_or_disposition,merged_into_audited_main,deployed_evidence,author_tests_rerun_here,url
1446,OPEN,Game Day PSI dashboard,5cc17c783559ef02f76719e8bc74e9c284f5ad6d,claude/game-day-ui,"Lane 6 / stacked on 1445, not main","Backend integration, exact-head tests, mobile WebKit, production and owner visual acceptance",False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1446
1445,OPEN,Live Game Day backend,e7057b7389d5965590f734bcbf6a139b2a1deb6c,claude/game-day-backend,Existing seasonal/Game Day/acquisition owners,"Production collector/provider health, scoring coverage, cold/degraded path, corrections, live resources",False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1445
1442,OPEN,Pick class lifecycle,3101430c90eb7c019ac8b82f861f4dcfa5cdf290,claude/pick-class-lifecycle,Canonical identity/pick owner,"Exact-head review, retained horizon, shared-board/all-league evidence, stack and post-deploy acceptance",False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1442
1444,OPEN,DLF Values gate measurement,09c85bd2b400f3e0a2f6a566336963fcbe291574,claude/dlf-values-gate-record,Existing source/valuation gate owner,One captured content version only; no promotion; future independent evaluation and owner decision,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1444
1346,OPEN DRAFT,Certified prepared serving,47b90cd412eeed8c8429487de8109823d82baac0,codex/performance-serving,Existing prepared-serving single writer,"Final local short/full acceptance, current CI, identity/headroom/signing and staged rollout proof; legacy/default-off retained",False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1346
1434,OPEN DRAFT,Monotone weighted window median,c3125bb4dc762f9d04a0d361b4ae5b3dc96cde58,claude/window-weighted-median-v2,Canonical blend owner,"Method-sensitive review and discriminating property/current-board acceptance, not predictive superiority",False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1434
1425,OPEN,Adaptive freshness intake,,chatgpt/brisket-freshness-orchestrator,Planning owner / #1423,Documentation only; orchestration code not implemented by this PR,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1425
1416,OPEN,Pick retirement and generic quantity intake,,chatgpt/brisket-pick-lifecycle-quantities,Planning owner / #1414/#1415,"Reconcile with merged 1441 and open 1442, not duplicate tickets",False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1416
1419,OPEN,Whole completion-portfolio front door,,chatgpt/brisket-unified-completion-portfolio,Planning/integration,Current main already carries front-door intent; reconcile remaining text only,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1419
1406,OPEN,DLF icon/native-value root-cause documentation,,claude/fix-dlf-sf-value-coverage,Source owner,"Earlier A/B/C blocker superseded by 1411/1430; retain history, no repeat permission/absence claim",False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1406
1407,OPEN,Refresh timer bootstraps and cohort serialization,,claude/fix-failing-refresh-units,Existing operations/acquisition owner,Next genuine scheduled runs after separately authorized integration; no reset-failed masquerading as proof,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1407
1399,OPEN,2026 partial-season League Comparison,,codex/league-comparison-2026-live,League Comparison owner,Current-season weighting/annualization and full-season convergence tests; not main yet,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1399
1381,OPEN,Power weekly record and publication integrity,,fix/power-week-integrity-and-card-parity,Power/history owner,Keep useful snapshot/record checks; frozen-current-share proposal superseded by 1398,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1381
1355,OPEN,Ruff dependency update,,,Dependency/integration owner,Selected-version compatibility/security review; not authorized by research screen,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1355
1396,OPEN,Next/React dependency group,,,Dependency/integration owner,"Selected-version tests, bundle and runtime review; separate from feature batch",False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1396
1395,OPEN,Direct capture-window availability probe,,codex/1391-direct-capture-availability,Existing performance verification owner,Multiple scheduled captures with genuinely overlapping HTTPS results; preserve original failures/no retry masking,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1395
1383,OPEN,Sleeper Week 1 utility fetchers,,claude/sleeper-league-week-1-mndo5q,Existing Sleeper/source owner,Utility-only scope; do not establish a second authoritative live-score path,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1383
1344,OPEN,Harness progressive disclosure,,codex/harness-progressive-disclosure,Agent OS/integration owner,Required CI and current-main integration; not product behavior evidence,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1344
1359,OPEN,Uvicorn dependency update,,,Dependency/integration owner,Compatibility/security/release gates,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1359
1358,OPEN,Mypy dependency update,,,Dependency/integration owner,Compatibility/security/release gates,False,NOT_ESTABLISHED,False,https://github.com/jasonleetucker-code/riskittogetthebrisket/pull/1358
