surface,page,route,probe_command_ref,total_rows_or_assets,idp_rows_or_assets,dl,lb,db,idp_share_pct,verdict,note
Blended board (contract),/rankings,GET /api/data,W27-R1,1092,398,145,114,139,36.4,IDP present and ranked,"IDP rows carry rankDerivedValue + canonicalConsensusRank; best IDP = Aidan Hutchinson DL board pos 36"
Rankings table (rendered page 1),/rankings,GET /api/data (browser),W27-R2,200,43,18,18,7,21.5,IDP present,"page-idp-probe.json + edge-rankings-dom.json"
Rankings EDGE column (BUY/SELL),/rankings,GET /api/data (browser),W27-R2,200 rows labelled,0 IDP labelled,0,0,0,0.0,IDP SILENTLY ABSENT,"all 43 IDP rows render EDGE='—'; 398/398 IDP rows carry marketGapDirection='none' because ktcSfTep is the sole is_retail source and publishes no IDP (W27-F001)"
Rankings advanced filter edge=buy/sell,/rankings,client filter player-filters.js,W27-R3,1092,0,0,0,0,0.0,IDP SILENTLY ABSENT,"filter tests row.marketGapDirection; no IDP row can ever match either value (W27-F001)"
Edge page offense buy/sell panels,/edge,GET /api/data (browser),W27-R4,20 rendered,0,0,0,0,0.0,by design,"marketGapDirection path; IDP handled by the separate panels below"
Edge page IDP buy/sell panels,/edge,GET /api/data (browser),W27-R4,14 rendered,14,5 sell + 0 buy,4 sell + 4 buy,1 sell + 0 buy,100.0,IDP present (separate label family),"idpMarketAction() with IDPTC as anchor; contradicts the same players' '—' on /rankings (W27-F001)"
Trade suggestions asset pool,/trade,POST /api/trade/suggestions,W27-R5,150,14,7,7,0,9.3,IDP UNDER-REPRESENTED / DB ABSENT,"global BOARD_TOP_N_FILTER=150 on a board where offense tops 9999 and best DB is 3159 (board pos 167) — zero DBs eligible (W27-F002)"
Trade suggestions returned assets (12 teams),/trade,POST /api/trade/suggestions,W27-R5,51,16,5,11,0,31.4,DB ABSENT,"0 DB assets across all 12 teams; 12/12 teams told 'need DB' (W27-F002)"
Trade calculator / simulate,/trade,POST /api/trade/simulate,W27-R6,n/a,IDP priced,yes,yes,yes,n/a,IDP present and valued,"byPosition IDP bucket 28 players / 62377 value on Jason's roster; single-board arithmetic"
Arbitrage finder pool,/arbitrage,POST /api/trade/finder,W27-R7,300,150,see note,see note,see note,50.0,IDP present and correctly gated,"marketCoverage {ktcSfTep:132, ktc:18, idpTradeCalc:150} — per-market top-150 works; refutes PRIOR-A14-F00/F01"
Arbitrage finder returned trade assets,/arbitrage,POST /api/trade/finder,W27-R7,120,60,23,11,26,50.0,IDP present,"mixedMarketTrades: 0 on this run; mixedMarket stamped per trade"
Angle 1-for-1 (find),n/a (no UI caller),POST /api/angle/find,W27-R8,38 candidates,1,0,1,0,2.6,IDP EXCLUDED BY DEFAULT,"include_idp defaults False; 37/38 candidates are cross-market KTC-vs-IDPTC comparisons with no uncertainty band (W27-F003, W27-F004)"
Angle packages,/angle,POST /api/angle/packages,W27-R9,10 candidates / 18 assets,0,0,0,0,0.0,IDP SILENTLY ABSENT,"UI never sends includeIdp; same request with includeIdp=true returns 13 candidates incl. 3 LB (W27-F003)"
Rosters,/rosters,GET /api/data (browser),W27-R2,12 team rows,IDP groups present,yes,yes,yes,n/a,IDP present,"POS_GROUPS includes DL/LB/DB (frontend/lib/league-analysis.js:17)"
Waivers,/waivers,POST /api/waiver/suggestions,W27-R10,40,18,6,6,6,45.0,IDP present and valued,"by_position buckets QB RB WR TE DL LB DB; FAAB bids computed for IDP"
ROS player values,n/a,GET /api/ros/player-values,W27-R11,500,180,58,45,77,36.0,IDP present but position labels unnormalized,"6 rows emit raw S/DT/DE instead of the POSITION_ALIASES families (W27-F006)"
ROS team strength / lineup,n/a,GET /api/ros/team-strength,W27-R12,252 starting slots,108,36,36,36,42.9,IDP FIRST-CLASS (verified),"all 36 DL + 36 LB + 36 DB slots filled; 7 hybrids cross-slotted via Sleeper fantasy_positions (Nik Bonitto LB->DL, Jeremy Chinn DB->LB, Josh Hines-Allen DE->LB); 0 unfilled slots"
Phases (contention),/phases,client top-25 of contract,W27-R13,300 top-25 slots,74,35,30,9,24.7,IDP present but value-weighted out,"team-phase.js takes top-25 by rankDerivedValue with no positional structure; league starts 9/21 IDP = 42.9%"
Draft rookie board,/draft,GET /api/draft-capital,W27-R14,72,18,see note,see note,see note,25.0,IDP present and honestly unpriced,"all 18 IDP rookies carry rookieKtcDollar=null (KTC has no IDP) and a real rookieIdpDollar"
Terminal,/terminal,GET /api/terminal,W27-R15,0,0,0,0,0,n/a,Blocked by data (all positions),"meta.historyPlayerCount=0; movers.roster/league/top150 all empty and signals=0 for OFFENSE TOO — not IDP-specific"
Movers,n/a,GET /api/movers,W27-R16,0,0,0,0,0,n/a,Blocked by data (all positions),"window=0 historyDepthDays=0; risers/fallers empty for every position"
Signals,/terminal,GET /api/terminal,W27-R15,0,0,0,0,0,n/a,Blocked by data (all positions),"signals array empty regardless of position"
Sharp roster percentage,/market/sharp-roster-percentage,GET /api/sharp/roster-percentage,W27-R17,0,0,0,0,0,n/a,Blocked by data,"status=cohort_building; eligibleRosters=0; no platform ledger in this container"
Sharp market (transactions),/market/sharp-tracker,GET /api/sharp/market,W27-R18,0,0,0,0,0,n/a,Blocked by data,"status=cohort_building; sleeper+ffpc both status=no_data"
BDVM fundamentals,/bdvm,GET /api/bdvm/values,W27-R19,0,0,0,0,0,n/a,Blocked by data,"status=no_projection_snapshot; data/bdvm/projections absent (pre-declared non-finding)"
